"","Group.1","young129_old126","young129_old127","young129_old128","young130_old126","young130_old127","young130_old128","young131_old126","young131_old127","young131_old128","std","agg23_meandNASF_1","agg35_meandNASF_1","agg23_meandNASF_2","agg35_meandNASF_2","agg23_meandNASF_3","agg35_meandNASF_3","nonzero_aggdif_minus1by2_23C","nonzero_aggdif_minus1by2_35C","nonzero_aggdif_minus1by3_23C","nonzero_aggdif_minus1by3_35C","nonzero_aggdif_minus2by3_23C","nonzero_aggdif_minus2by3_35C","avg2121","avg3535","avg2135","p_Value","avg_ratio_2135vs21","avg_ratio_2135vs35","threshold"
"1","NP_001018030",13.5623194861924,18.937143133704,14.6164302238037,14.0832382920562,19.4580619395678,15.1373490296675,13.2259702572213,18.6007939047329,14.2800809948326,2.49469022196291,943.562989777778,152.068456222222,1016.60676233333,150.615171777778,1123.37829394444,139.990111,0.520918805863815,5.37482364751163,0.336349228971127,1.05411073761129,0.857268034834942,4.32071290990033,0.571512023223294,3.58321576500775,15.7668208068643,1.32443983729966e-06,27.5879074563302,4.40018738498438,"TRUE"
"2","NP_001091638",0,0,0,0,0,0,0,0,0,0,474.809153472222,348.200290972222,538.850352361111,360.50426375,547.868011527778,369.666240277778,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"3","NP_001257669",0,0,0,0,0,0,0,0,0,0,751.093988088235,542.657415294118,923.541456617647,405.091118823529,835.356391176471,516.856928676471,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"4","NP_009306",0,0,0,0,0,0,0,0,0,0,64.8318788253968,81.8017944126984,67.4873461111111,75.4796011746032,78.0185824920635,72.6828324126984,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"5","NP_009311",0,0,0,0,0,0,0,0,0,0,1178.5234920904,785.368042655367,1191.51587683616,902.818816384181,1142.91219858757,801.251581920904,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"6","NP_009313",0,0,0,0,0,0,0,0,0,0,439.200744015444,333.387682316602,444.200322393822,322.520333861004,352.37996,320.017667644788,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"7","NP_009319",2.1439256619218,2.1439256619218,2.1439256619218,0,0,0,0,0,0,1.0719628309609,700.917732169737,15.1138912105263,816.809920526316,48.564396618421,805.439156052632,14.0854508289474,2.1439256619218,0,2.1439256619218,0,0,0,1.42928377461454,0,0.714641887307268,0.355755725836909,0.5,Inf,"FALSE"
"8","NP_009342",59.8443516074742,59.8443516074742,56.9962225863116,51.3760838408451,51.3760838408451,48.5279548196826,67.5020154357175,67.5020154357175,64.6538864145549,7.12934711175043,520.735535660377,234.958201226415,569.418345528302,248.626088839623,633.223401896226,265.768341595283,8.80861549157154,2.40625214917582,7.69101900659969,3.27852134718069,16.4996344981712,5.68477349635651,10.9997563321142,3.78984899757101,58.6247739542914,9.14669091472842e-07,5.32964296519319,15.4688944049922,"TRUE"
"9","NP_009347",0,0,0,0,0,0,0,0,0,0,5.6802704628331,11.9357100939691,6.72718934502104,13.1029082762973,8.37501104908836,14.5518183730715,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"10","NP_009355",54.6352340604652,53.542558967062,46.3277565214156,64.8243441122391,63.7316690188359,56.5168665731895,61.285522153377,60.1928470599738,52.9780446143275,5.94589199020708,3309.94184705882,1635.26015123529,3543.24282764706,1534.18014517647,4156.46212705882,1518.12720905882,10.1891100517739,1.0926750934032,6.65028809291184,8.30747753904955,3.53882195886206,7.21480244564635,6.79274003451593,5.53831835936636,57.1149825645428,8.51277040363135e-08,8.40823913094343,10.3126940089947,"TRUE"
"11","NP_009358",0,0,0,0,0,0,0,0,0,0,150.777561012048,108.386272554217,163.085864457831,108.339588939759,148.820259036145,108.102749614458,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"12","NP_009362",64.0461851536959,62.8203636066382,65.7947979558083,60.5335629678092,59.8721804793195,62.1477681970397,60.7385497707929,60.7735576022273,62.4618028740784,1.9076134019393,221754.039091161,166198.751624403,228804.166459854,164153.666509514,214321.204124772,172414.119804805,5.90673584603647,4.36141316203413,17.3849533333227,5.24730898348823,14.1901887288497,6.92802278760563,12.4939593027363,5.51224831104266,62.1320854008233,4.18303316427178e-10,4.97297004859106,11.2716412423501,"TRUE"
"13","NP_009364",28.7557140344029,33.8421351554818,27.0181209718334,27.9621535169303,33.0485746380093,26.2245604543608,31.9119719932295,36.9983931143084,30.17437893066,3.56459758675409,177.666253848238,190.048589105691,180.121938265583,183.47083401084,147.908747804878,175.936942655827,0.79356051747255,5.08642112107893,3.15625795882663,1.7375930625695,3.94981847629918,6.82401418364843,2.63321231753279,4.54934278909895,30.6595558676907,1.53181637525073e-07,11.6434043937701,6.73933737003871,"TRUE"
"14","NP_009365",29.5910605260236,34.6808567432345,27.0297563796452,31.626641799893,36.6867293732769,29.0653376535146,30.6403114276816,35.6722460276603,28.1725216912276,3.46043957087159,4321.25011219471,956.703392497305,4381.67071762186,894.491777872655,4863.3638004012,974.366073827345,2.17372085669524,5.83678056263037,2.53037829449053,5.13316699406462,1.7817266871932,9.88985861430479,2.16194194612632,6.95326872366659,31.4628290691286,5.99575560433002e-08,14.5530406704502,4.52489761571269,"TRUE"
"15","NP_009376",0,0,0,0,0,0,0,0,0,0,32.420963800738,20.4917878745387,32.4476846715867,18.5226215498155,38.166038199262,17.5943046125461,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16","NP_009377",25.2464205033503,30.2320883848493,17.2813922749993,20.0296414271454,25.0153093086443,12.0646131987944,11.1737640488336,16.1594319303326,3.20873582048258,8.36435963171418,145.914444879085,100.622511559477,137.17254577451,105.788826552288,154.554465722222,91.0494209183007,5.21677907620497,7.78333518223235,14.1201315903376,7.96502822835101,9.53560395664625,12.95069610985,9.62417154106294,9.56635317347778,17.8234885441591,0.143221993795593,1.85195042171812,1.86314348016899,"FALSE"
