cluster_id,size,k,persist_steps,mean_intra_corr,mean_out_corr,margin,best_complex,TP,FP,FN,precision,recall,F1,precision_complex_ppi,recall_complex_ppi,F1_complex_ppi,FE,pval,ppi_edges,ppi_possible,ppi_density,ppi_enrich,ppi_pval,frac_nodes_with_ppi,alias_group_id,is_canonical,qval_complex,qval_ppi,members,members_complex,members_ppi,members_both,members_unexplained,member_labels,n_members_complex,n_members_ppi,n_members_both,n_members_unexplained
22,4,0.08250000000000057,5,0.9456340946151834,-0.039873926788695294,0.9855080214038787,Septin complex,3,1,0,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,482.00000000000006,3.3540243767942636e-09,6,6,1.0,50.436534441095816,6.072327646622615e-11,1.0,22,True,3.572035961285891e-08,2.269132962685293e-10,"['CDC10', 'CDC11', 'CDC12', 'SHS1']","['CDC10', 'CDC11', 'CDC12']","['CDC10', 'CDC11', 'CDC12', 'SHS1']","['CDC10', 'CDC11', 'CDC12']",[],"['both', 'both', 'both', 'ppi']",3,4,3,0
37,19,0.11000000000000054,4,0.9223055120818101,0.036696099392045024,0.8856094126897651,26S proteasome complex,12,7,0,0.631578947368421,1.0,0.7741935483870968,0.5983379501385041,0.9473684210526315,0.7334465195246179,101.47368421052632,9.468393631050884e-27,143,171,0.8362573099415205,42.17792061448363,1.4884390155904e-212,0.9473684210526315,37,True,5.041919608534596e-25,2.264553645148251e-211,"['FAP7', 'PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']",['FAP7'],"['unexplained', 'both', 'both', 'both', 'both', 'both', 'both', 'ppi', 'both', 'both', 'ppi', 'ppi', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'ppi']",12,18,12,1
20,12,0.19250000000000045,6,0.8707698437057941,0.0025520792223384893,0.8682177644834557,"Vacuolar proton translocating ATPase complex, vacuole variant",8,4,1,0.6666666666666666,0.8888888888888888,0.761904761904762,0.5555555555555556,0.7407407407407407,0.634920634920635,142.81481481481484,9.528452562703538e-19,33,66,0.5,25.218267220547908,2.4190404251975075e-38,0.8333333333333334,20,True,2.536950494819817e-17,1.3559358172817609e-37,"['VAC8', 'VMA1', 'VMA10', 'VMA13', 'VMA2', 'VMA4', 'VMA5', 'VMA8', 'VPH1', 'YPQ1', 'YPR170W-B', 'ZRC1']","['VMA1', 'VMA10', 'VMA13', 'VMA2', 'VMA4', 'VMA5', 'VMA8', 'VPH1']","['VAC8', 'VMA1', 'VMA10', 'VMA13', 'VMA2', 'VMA4', 'VMA5', 'VMA8', 'VPH1', 'ZRC1']","['VMA1', 'VMA10', 'VMA13', 'VMA2', 'VMA4', 'VMA5', 'VMA8', 'VPH1']","['YPQ1', 'YPR170W-B']","['ppi', 'both', 'both', 'both', 'both', 'both', 'both', 'both', 'both', 'unexplained', 'unexplained', 'ppi']",8,10,8,2
190,5,0.16500000000000048,2,0.885324124770673,-0.022391211353655162,0.9077153361243282,COPI vesicle coat complex,3,2,0,0.6,1.0,0.7499999999999999,0.36,0.6,0.4499999999999999,385.6,8.38506094198566e-09,3,10,0.3,15.130960332328744,0.0008423799413847128,0.6,190,True,7.765295568012805e-08,0.0022151472532709114,"['GVP36', 'SEC21', 'SEC27', 'SEC28', 'VPS1']","['SEC21', 'SEC27', 'SEC28']","['SEC21', 'SEC27', 'SEC28']","['SEC21', 'SEC27', 'SEC28']","['GVP36', 'VPS1']","['unexplained', 'both', 'both', 'both', 'unexplained']",3,3,3,2
88,21,0.22000000000000042,3,0.8986036291504632,0.03752019970957489,0.8610834294408883,26S proteasome complex,12,9,0,0.5714285714285714,1.0,0.7272727272727273,0.5442176870748299,0.9523809523809523,0.6926406926406926,91.80952380952382,5.523229618113016e-26,162,210,0.7714285714285715,38.908183711702485,2.704751349990902e-229,0.9523809523809523,88,True,2.3528958173161447e-24,5.237382159527838e-228,"['ARO4', 'FAP7', 'PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPN9', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']","['ARO4', 'PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPN9', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']",['FAP7'],"['ppi', 'unexplained', 'both', 'both', 'both', 'both', 'both', 'both', 'ppi', 'both', 'both', 'ppi', 'ppi', 'ppi', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'ppi']",12,20,12,1
154,11,0.11000000000000054,2,0.9202856879809318,-0.055869861710861654,0.9761555496917934,DASH complex,6,5,0,0.5454545454545454,1.0,0.7058823529411764,0.5454545454545454,1.0,0.7058823529411764,175.27272727272728,6.52701121907544e-15,36,55,0.6545454545454545,33.01300436144453,9.580257460716106e-48,1.0,154,True,1.0694256843562067e-13,6.001749526860384e-47,"['ASK1', 'BIM1', 'DAD1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SLK19', 'SPC110', 'SPC19', 'SPC34']","['ASK1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SPC34']","['ASK1', 'BIM1', 'DAD1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SLK19', 'SPC110', 'SPC19', 'SPC34']","['ASK1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SPC34']",[],"['both', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'ppi', 'ppi', 'ppi', 'both']",6,11,6,0
159,6,0.11000000000000054,2,0.9223387560114781,-0.028574816105608962,0.950913572117087,Exocyst,3,3,0,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,321.3333333333333,1.677012188397132e-08,9,15,0.6,30.261920664657488,2.125182302955093e-12,1.0,159,True,1.3229762819577376e-07,8.540826991121413e-12,"['BEM1', 'BUD6', 'SEC15', 'SEC2', 'SEC6', 'SEC8']","['SEC15', 'SEC6', 'SEC8']","['BEM1', 'BUD6', 'SEC15', 'SEC2', 'SEC6', 'SEC8']","['SEC15', 'SEC6', 'SEC8']",[],"['ppi', 'ppi', 'both', 'ppi', 'both', 'both']",3,6,3,0
82,12,0.16500000000000048,3,0.9074007763867673,-0.056895890046179204,0.9642966664329465,DASH complex,6,6,0,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,160.66666666666666,1.305402243815088e-14,39,66,0.5909090909090909,29.80340671519298,5.559729421235586e-49,1.0,82,True,1.986076270947241e-13,3.700694896009937e-48,"['ASK1', 'BIM1', 'DAD1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SLK19', 'SPC110', 'SPC19', 'SPC34', 'SPC42']","['ASK1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SPC34']","['ASK1', 'BIM1', 'DAD1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SLK19', 'SPC110', 'SPC19', 'SPC34', 'SPC42']","['ASK1', 'DAD2', 'DAD3', 'DAD4', 'DAM1', 'SPC34']",[],"['both', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'ppi', 'ppi', 'ppi', 'both', 'ppi']",6,12,6,0
53,24,0.3025000000000003,4,0.853787279939785,0.03992152239761293,0.813865757542172,26S proteasome complex,12,12,0,0.5,1.0,0.6666666666666666,0.4583333333333333,0.9166666666666666,0.611111111111111,80.33333333333333,5.0813712486639765e-25,164,276,0.5942028985507246,29.969534957752582,1.837543166335878e-201,0.9166666666666666,53,True,1.8038867932757117e-23,2.3023334966443647e-200,"['ARO4', 'CKB1', 'FAP7', 'GON7', 'PCC1', 'PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPN9', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']","['ARO4', 'GON7', 'PCC1', 'PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RAD23', 'RPN1', 'RPN11', 'RPN13', 'RPN6', 'RPN7', 'RPN8', 'RPN9', 'RPT1', 'RPT2', 'RPT4', 'RPT5', 'SEM1']","['PRE1', 'PRE10', 'PRE2', 'PRE3', 'PRE6', 'PUP2', 'RPN1', 'RPN11', 'RPT1', 'RPT2', 'RPT4', 'RPT5']","['CKB1', 'FAP7']","['ppi', 'unexplained', 'unexplained', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'both', 'both', 'ppi', 'both', 'both', 'ppi', 'ppi', 'ppi', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'ppi']",12,22,12,2
196,28,0.19250000000000045,2,0.8746966896302932,-0.04130049444633619,0.9159971840766294,Nuclear pore complex,15,13,3,0.5357142857142857,0.8333333333333334,0.6521739130434783,0.49744897959183676,0.7738095238095238,0.6055900621118012,57.38095238095238,2.1894029272781095e-27,191,378,0.5052910052910053,25.485127191135717,2.2342742339188167e-215,0.9285714285714286,196,True,1.5544760783674577e-25,3.6607723986515996e-214,"['ASM4', 'GLE2', 'GTT3', 'HMG1', 'HMG2', 'KAP122', 'LAC1', 'NIC96', 'NSG1', 'NUP1', 'NUP100', 'NUP116', 'NUP120', 'NUP133', 'NUP145', 'NUP157', 'NUP159', 'NUP170', 'NUP188', 'NUP49', 'NUP60', 'NUP82', 'NUP84', 'NUP85', 'POM152', 'POM34', 'YPF1', 'YPR174C']","['GLE2', 'NIC96', 'NUP1', 'NUP120', 'NUP133', 'NUP145', 'NUP157', 'NUP159', 'NUP170', 'NUP188', 'NUP60', 'NUP82', 'NUP84', 'NUP85', 'POM152']","['ASM4', 'GLE2', 'HMG1', 'HMG2', 'KAP122', 'LAC1', 'NIC96', 'NSG1', 'NUP1', 'NUP100', 'NUP116', 'NUP120', 'NUP133', 'NUP145', 'NUP157', 'NUP159', 'NUP170', 'NUP188', 'NUP49', 'NUP60', 'NUP82', 'NUP84', 'NUP85', 'POM152', 'POM34', 'YPF1']","['GLE2', 'NIC96', 'NUP1', 'NUP120', 'NUP133', 'NUP145', 'NUP157', 'NUP159', 'NUP170', 'NUP188', 'NUP60', 'NUP82', 'NUP84', 'NUP85', 'POM152']","['GTT3', 'YPR174C']","['ppi', 'both', 'unexplained', 'ppi', 'ppi', 'ppi', 'ppi', 'both', 'ppi', 'both', 'ppi', 'ppi', 'both', 'both', 'both', 'both', 'both', 'both', 'both', 'ppi', 'both', 'both', 'both', 'both', 'both', 'ppi', 'ppi', 'unexplained']",15,26,15,2
